number_of_reviews,minimum_nights,availability_365,neighbourhood_group,room_type,price
0.017241379310344827,0.20000000000000004,0.0,0.0,0.5,60
0.0,0.4,0.0,0.0,0.5,185
0.0,0.0,0.0,0.25,0.0,185
0.7931034482758621,0.1,0.052054794520547946,0.0,0.5,162
0.12068965517241378,0.4,0.3835616438356164,0.0,0.5,59
0.034482758620689655,0.0,0.1506849315068493,0.25,0.5,160
0.9482758620689655,0.1,0.9534246575342465,0.25,0.0,125
0.8793103448275862,0.1,0.38082191780821917,0.25,0.0,145
0.6379310344827586,0.6000000000000001,0.10684931506849316,0.0,0.5,150
0.10344827586206896,0.1,0.0,0.0,0.0,50
0.06896551724137931,0.1,0.2547945205479452,0.0,0.5,90
0.8275862068965517,0.0,0.2958904109589041,0.0,0.5,117
0.017241379310344827,0.1,0.0,0.25,0.0,45
0.13793103448275862,0.20000000000000004,0.0,0.25,0.5,170
0.48275862068965514,0.30000000000000004,0.4904109589041096,0.0,0.5,300
0.22413793103448276,0.1,0.0,0.0,0.5,200
0.0,0.20000000000000004,0.0,0.25,0.5,175
0.0,0.20000000000000004,0.04657534246575343,0.25,0.5,242
0.7413793103448276,0.0,0.0,0.25,0.0,116
0.017241379310344827,0.0,0.9589041095890412,0.0,0.0,60
0.0,0.0,0.0,0.0,0.5,250
0.0,0.0,0.9835616438356164,0.25,0.0,100
0.3275862068965517,0.4,0.2602739726027397,0.0,0.0,80
0.034482758620689655,0.1,0.0,0.25,0.0,150
0.0,0.6000000000000001,0.7671232876712328,0.75,1.0,45
0.05172413793103448,0.4,0.9972602739726028,0.75,0.0,55
0.017241379310344827,0.30000000000000004,0.0,0.25,1.0,70
0.0,0.20000000000000004,0.0,0.0,0.0,60
0.27586206896551724,0.5000000000000001,0.4602739726027397,0.0,0.5,150
0.0,0.1,0.0,0.25,0.5,225
0.034482758620689655,0.6000000000000001,0.8876712328767123,0.0,0.0,75
0.034482758620689655,0.20000000000000004,0.09863013698630137,1.0,0.5,135
0.1896551724137931,0.1,0.0,0.0,0.0,60
0.06896551724137931,0.1,0.13972602739726028,0.25,0.5,275
0.1896551724137931,0.9,0.6191780821917808,0.0,0.5,69
0.017241379310344827,0.20000000000000004,0.0,0.25,0.0,69
0.20689655172413793,0.6000000000000001,0.0,0.0,0.0,150
0.06896551724137931,0.5000000000000001,0.0136986301369863,0.0,0.0,44
0.5,0.6000000000000001,0.08493150684931507,0.25,0.5,150
0.05172413793103448,0.20000000000000004,0.0,0.0,0.5,135
0.0,0.0,0.9945205479452055,0.75,0.0,149
0.0,0.4,0.0,0.25,0.5,175
0.13793103448275862,0.4,0.6767123287671233,0.0,0.0,45
0.39655172413793105,0.1,0.13424657534246576,0.0,0.5,75
0.9655172413793103,0.0,1.0,0.25,0.0,89
0.39655172413793105,0.1,0.038356164383561646,0.25,0.5,130
0.603448275862069,0.0,0.2136986301369863,0.0,1.0,21
0.13793103448275862,0.20000000000000004,0.10410958904109589,0.5,0.0,35
0.034482758620689655,0.0,0.0,0.5,0.0,60
0.0,0.0,0.0,0.0,0.0,75
0.1896551724137931,0.1,0.0,0.25,0.0,79
0.9137931034482758,0.0,0.9945205479452055,0.0,0.5,80
0.5172413793103449,0.30000000000000004,0.12328767123287672,0.25,0.5,219
0.0,0.20000000000000004,0.3095890410958904,0.75,0.0,67
0.8620689655172413,0.30000000000000004,0.9068493150684932,0.0,0.5,190
